INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Alabama A & M University,Normal,35762,,0.303030303,0.133333333
University of Alabama at Birmingham,Birmingham,35294-0110,,0.471608833,0.458944282
Amridge University,Montgomery,36117-3553,,0.24137931,0.28
University of Alabama in Huntsville,Huntsville,35899,,0.316371681,0.207602339
Alabama State University,Montgomery,36104-0271,,0.232205368,0.116766467
The University of Alabama,Tuscaloosa,35487-0166,,0.508310249,0.377814846
Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
Athens State University,Athens,35611,,0.291338583,0.216049383
Auburn University at Montgomery,Montgomery,36117-3596,,0.274963821,0.195335277
Auburn University,Auburn,36849,,0.494912791,0.435114504
Lawson State Community College-Bessemer Campus,Bessemer,35022,,PrivacySuppressed,PrivacySuppressed
Birmingham Southern College,Birmingham,35254,,0.432692308,0.433333333
Shelton State Community College-C A Fredd Campus,Tuscaloosa,35401,,PrivacySuppressed,PrivacySuppressed
Chattahoochee Valley Community College,Phenix City,36869,,PrivacySuppressed,PrivacySuppressed
Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
South University-Montgomery,Montgomery,36116,,0.250759878,0.219512195
Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
James H Faulkner State Community College,Bay Minette,36507-2698,,0.081135903,0.047008547
Faulkner University,Montgomery,36109-3390,,0.107594937,0.059782609
Gadsden Business College,Rainbow City,35906,,PrivacySuppressed,PrivacySuppressed
Gadsden State Community College,Gadsden,35903,,PrivacySuppressed,PrivacySuppressed
George C Wallace State Community College-Dothan,Dothan,36303-9234,,PrivacySuppressed,PrivacySuppressed
George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,PrivacySuppressed,PrivacySuppressed
George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
Herzing University-Birmingham,Birmingham,35209,,0.364238411,0.365758755
Huntingdon College,Montgomery,36106-2148,,0.469387755,0.338709677
Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
Jacksonville State University,Jacksonville,36265,,0.08994709,0.065088757
Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
Jefferson State Community College,Birmingham,35215-3098,,0.094722598,0.095238095
John C Calhoun State Community College,Tanner,35671,,PrivacySuppressed,PrivacySuppressed
Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
