INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Alabama A & M University,Normal,35762,,0.305772231,0.175324675
University of Alabama at Birmingham,Birmingham,35294-0110,,0.452027027,0.377155172
Amridge University,Montgomery,36117-3553,,0.193877551,0.231884058
University of Alabama in Huntsville,Huntsville,35899,,0.409836066,0.375766871
Alabama State University,Montgomery,36104-0271,,0.231822972,0.134193548
The University of Alabama,Tuscaloosa,35487-0166,,0.56080771,0.463215259
Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
Athens State University,Athens,35611,,0.533426184,0.48534202
Auburn University at Montgomery,Montgomery,36117-3596,,0.209081309,0.201680672
Auburn University,Auburn,36849,,0.588662791,0.475468976
Birmingham Southern College,Birmingham,35254,,0.629370629,0.467105263
Chattahoochee Valley Community College,Phenix City,36869,,0.141393443,0.094594595
Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
South University-Montgomery,Montgomery,36116,,0.110815727,0.107220531
Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
James H Faulkner State Community College,Bay Minette,36507-2698,,0.133491311,0.08575804
Faulkner University,Montgomery,36109-3390,,0.279255319,0.218918919
Gadsden State Community College,Gadsden,35903,,0.150644783,0.12601626
New Beginning College of Cosmetology,Albertville,35951,,,
George C Wallace State Community College-Dothan,Dothan,36303-9234,,0.204897959,0.141414141
George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,0.263782275,0.181598063
George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
Herzing University-Birmingham,Birmingham,35209,,0.257958288,0.235995232
Huntingdon College,Montgomery,36106-2148,,0.52173913,0.356321839
Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
J F Drake State Community and Technical College,Huntsville,35811,,0.125799574,0.070707071
Jacksonville State University,Jacksonville,36265,,0.365539453,0.205357143
Jefferson Davis Community College,Brewton,36426,,0.130952381,0.104265403
Jefferson State Community College,Birmingham,35215-3098,,0.161533196,0.117875648
John C Calhoun State Community College,Tanner,35671,,0.1324652,0.104089219
Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,0.109729334,0.117714286
University of West Alabama,Livingston,35470,,0.276744186,0.243055556
