,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
6098,Vatterott College-Dividend,Memphis,38132,,0.507675439,0.529622063
6099,Vatterott College-Tulsa,Tulsa,74146,,0.507675439,0.529622063
6100,Vatterott College-Wichita,Wichita,67226,,0.507675439,0.529622063
6101,Star Career Academy-Newark,Newark,07102-4531,,0.564013841,0.409090909
6102,Southern University Law Center,Baton Rouge,70813,,0.245948522,0.151898734
6103,Sanford-Brown College-Orlando,Orlando,32809,,0.46350365,0.43557423
6104,Lincoln Technical Institute-Lowell,Lowell,01852,,0.64,0.649546828
6105,Katharine Gibbs School,Norristown,19403,,0.523159145,0.470193741
6106,Everest College-Vancouver Massage Therapy,Vancouver,98684,,0.766917293,0.705179283
6107,Texas Barber Colleges and Hairstyling Schools,Houston,77063,,PrivacySuppressed,PrivacySuppressed
6108,Everest Institute-Hobby,Houston,77087,,0.632653061,0.440438872
6109,Miller-Motte Technical College-Charleston,Charleston,29418,,0.413978495,0.380566802
6110,American Career College-Anaheim,Anaheim,92801-0000,,0.630493274,0.569811321
6111,Remington College-Jacksonville Campus,Jacksonville,32256,,0.489835431,0.456701031
6112,Saginaw Chippewa Tribal College,Mount Pleasant,48858,,,
6113,Wyotech-Blairsville,Blairsville,15717-1301,,PrivacySuppressed,PrivacySuppressed
6114,Richmont Graduate University,Chattanooga,37404,,,
6115,Harrison Career Institute-South Orange,South Orange,07079-0000,,0.415291051,0.361256545
6116,The Seattle School of Theology & Psychology,Seattle,98121,,,
6117,Northwest College-Hillsboro,Hillsboro,97123,,PrivacySuppressed,PrivacySuppressed
6118,San Diego State University-Imperial Valley Campus,Calexico,92231,,0.43252818,0.397212544
6119,American Broadcasting School-Arlington,Arlington,76011,,0.739726027,0.741935484
6120,Miami-Jacobs Career College-Sharonville,Sharonville,45241,,PrivacySuppressed,PrivacySuppressed
6121,East Valley Institute of Technology,Mesa,85201,,PrivacySuppressed,PrivacySuppressed
6122,West Coast Ultrasound Institute,Beverly Hills,90211,,PrivacySuppressed,PrivacySuppressed
6123,Irell & Manella Graduate School of Biological Sciences at City of Hope,Duarte,91010-3000,,,
6124,Community Business College,Modesto,95356-1569,,,
6125,Design's School of Cosmetology,Paso Robles,93446,,PrivacySuppressed,PrivacySuppressed
6126,Paul Mitchell the School-Santa Barbara,Santa Barbara,93101,,PrivacySuppressed,PrivacySuppressed
6127,University of the Rockies,Denver,80202-1787,,,
6128,Eli Whitney Technical High School,Hamden,06514,,PrivacySuppressed,PrivacySuppressed
6129,Vinal Technical High School,Middletown,06457,,PrivacySuppressed,PrivacySuppressed
6130,Oliver Wolcott Regional Vocational Technical Sch,Torrington,06790,,,
6131,Windham Technical High School,Willimantic,06226,,PrivacySuppressed,PrivacySuppressed
6132,Harris School of Business-Wilmington Campus,Wilmington,19803,,PrivacySuppressed,PrivacySuppressed
6133,Ultimate Medical Academy-Clearwater,Clearwater,33755-4933,,PrivacySuppressed,PrivacySuppressed
6134,Florida Barber Academy,Plantation,33317,,PrivacySuppressed,PrivacySuppressed
6135,Angley College,Deland,32720,,PrivacySuppressed,PrivacySuppressed
6136,Jacksonville Beauty Institute,Jacksonville,32208,,PrivacySuppressed,PrivacySuppressed
6137,M-DCPS The English Center,Miami,33133-2703,,PrivacySuppressed,PrivacySuppressed
6138,Florida Education Institute,Miami,33144,,PrivacySuppressed,PrivacySuppressed
6139,Superior Career Institute,LAUDERHILL,33313,,PrivacySuppressed,PrivacySuppressed
6140,Institute of Technical Arts,Casselberry,32707,,PrivacySuppressed,PrivacySuppressed
6141,Powder Springs Beauty College,Powder Springs,30127,,PrivacySuppressed,PrivacySuppressed
6142,National Graduate School of Quality Management,Falmouth,02540-2958,,,
6143,Texas County Technical College,Houston,65483,,PrivacySuppressed,PrivacySuppressed
6144,Aviation Institute of Maintenance-Kansas City,Kansas City,64129,,PrivacySuppressed,PrivacySuppressed
6145,Blue Cliff College-Gulfport,Gulfport,39503,,PrivacySuppressed,PrivacySuppressed
6146,Apex School of Theology,Durham,27703,,PrivacySuppressed,PrivacySuppressed
6147,Institute for Therapeutic Massage,Hackensack,07601,,PrivacySuppressed,PrivacySuppressed
6148,Helma Institute of Massage Therapy,Saddle Brook,07663-6408,,PrivacySuppressed,PrivacySuppressed
6149,Cortiva Institute-Somerset School of Massage Therapy,Piscataway,08854,,PrivacySuppressed,PrivacySuppressed
6150,Metropolitan Learning Institute,Rego Park,11374,,PrivacySuppressed,PrivacySuppressed
6151,Anthem Institute-Manhattan,New York,10018,,0.229787234,0.293080054
6152,Orleans Niagara BOCES-Practical Nursing Program,Sanborn,14132,,PrivacySuppressed,PrivacySuppressed
6153,Yeshiva Shaarei Torah of Rockland,Suffern,10901,,PrivacySuppressed,PrivacySuppressed
6154,Leon Studio One School of Beauty Knowledge,Williamsville,14221,,PrivacySuppressed,PrivacySuppressed
6155,St Joseph's Medical Center School of Radiography,Yonkers,10701,,PrivacySuppressed,PrivacySuppressed
6156,American Institute of Alternative Medicine,Columbus,43229,,PrivacySuppressed,PrivacySuppressed
6157,Brown Aveda Institute-Mentor,Mentor,44060,,PrivacySuppressed,PrivacySuppressed
6158,Tri-State College,North Lima,44452,,PrivacySuppressed,PrivacySuppressed
6159,Institute of Technology,Salem,97305,,PrivacySuppressed,PrivacySuppressed
6160,Susquehanna County Career and Technology Center,Springville,18844,,PrivacySuppressed,PrivacySuppressed
6161,Centro de Capacitacion y Asesoramiento Vetelba,Arecibo,00612,,PrivacySuppressed,PrivacySuppressed
6162,Universidad Pentecostal Mizpa,Rio Piedras,00928,,PrivacySuppressed,PrivacySuppressed
6163,Caribbean Forensic and Technical College,Rio Piedras,00925-2901,,PrivacySuppressed,PrivacySuppressed
6164,American Technological College,San Juan,00925,,PrivacySuppressed,PrivacySuppressed
6165,Charleston School of Massage,Charleston,29412,,PrivacySuppressed,PrivacySuppressed
6166,Concorde Career College-Grand Prairie,Grand Prairie,75052-3831,,PrivacySuppressed,PrivacySuppressed
6167,Kussad Institute of Court Reporting,Austin,78704-5712,,PrivacySuppressed,PrivacySuppressed
6168,Lamar Institute of Technology,Beaumont,77705,,0.5,0.457627119
6169,MJ's Beauty Academy Inc,Dallas,75237,,PrivacySuppressed,PrivacySuppressed
6170,Aviation Institute of Maintenance-Dallas,Irving,75061,,PrivacySuppressed,PrivacySuppressed
6171,State Beauty Academy,Duncanville,75116,,PrivacySuppressed,PrivacySuppressed
6172,Behold Beauty Academy,Houston,77016-3725,,PrivacySuppressed,PrivacySuppressed
6173,Healing Mountain Massage School,Salt Lake City,84102-4002,,PrivacySuppressed,PrivacySuppressed
6174,Eastern Virginia Career College,Fredericksburg,22408,,PrivacySuppressed,PrivacySuppressed
6175,Rudy & Kelly Academy-A Paul Mitchell Partner School,Virginia Beach,23464,,PrivacySuppressed,PrivacySuppressed
6176,South Branch Career and Technical Center,Petersburg,26847,,PrivacySuppressed,PrivacySuppressed
6177,Nevada State College,Henderson,89002,,0.350332594,0.287694974
6178,Virginia College-Jackson,Jackson,39211,,0.403500243,0.351912568
