INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Lancaster County Career and Technology Center,Willow Street,17584,,0.727272727,0.52
Lebanon County Area Vocational Technical School,Lebanon,17042,,PrivacySuppressed,PrivacySuppressed
Northern Tier Career Center,Towanda,18848-9731,,PrivacySuppressed,PrivacySuppressed
Clarion County Career Center Practical Nursing Program,Shippenville,16254-8975,,PrivacySuppressed,PrivacySuppressed
Hazleton Area Career Center,Hazle TWP.,18202,,PrivacySuppressed,PrivacySuppressed
All-State Career School-Pittsburgh,West Mifflin,15122,,PrivacySuppressed,PrivacySuppressed
Carlos F Daniels Area Vocational School,Carolina,00982,,PrivacySuppressed,PrivacySuppressed
Serbias Technical College,Guayama,00784,,PrivacySuppressed,PrivacySuppressed
Maison D'Esthetique Academy,San Juan,00907,,PrivacySuppressed,PrivacySuppressed
Colegio Tecnologico y Comercial de Puerto Rico,Aguada,00602-0960,,PrivacySuppressed,PrivacySuppressed
Quality Technical and Beauty College,Bayamon,00961,,PrivacySuppressed,PrivacySuppressed
D'Mart Institute,Barranquitas,00794,,PrivacySuppressed,PrivacySuppressed
Automeca Technical College-Aguadilla,Aguadilla,00605,,PrivacySuppressed,PrivacySuppressed
Fortis Institute-Cookeville,Cookeville,38501-4305,,0.561068702,0.484848485
North Central Institute,Clarksville,37042,,PrivacySuppressed,PrivacySuppressed
Stephenville Beauty College,Stephenville,76401,,PrivacySuppressed,PrivacySuppressed
Pipo Academy of Hair Design,El Paso,79903,,PrivacySuppressed,PrivacySuppressed
Tint School of Makeup and Cosmetology-Dallas,Dallas,75229-3734,,PrivacySuppressed,PrivacySuppressed
ACT College,Arlington,22209-2297,,0.579130435,0.644067797
United Technical Center,Clarksburg,26301-6313,,PrivacySuppressed,PrivacySuppressed
Ailano School of Cosmetology,Brockton,02301-5734,,PrivacySuppressed,PrivacySuppressed
Carsten Institute of Cosmetology,Tempe,85282,,PrivacySuppressed,PrivacySuppressed
Central California School of Continuing Education,San Luis Obispo,93401,,0.573333333,0.709090909
Mercy Hospital School of Practical Nursing-Plantation General Hospital,Miami,33133,,PrivacySuppressed,PrivacySuppressed
Marion Technical College,Ocala,34471-3172,,PrivacySuppressed,PrivacySuppressed
Rivertown School of Beauty Barber Skin Care and Nails,Columbus,31904,,PrivacySuppressed,PrivacySuppressed
Atlanta Institute of Music and Media,Duluth,30096,,PrivacySuppressed,PrivacySuppressed
Illinois Media School,Lombard,60148,,0.666666667,0.846153846
Marion Community Schools-Tucker Career & Technology Center,Marion,46952,,PrivacySuppressed,PrivacySuppressed
St Louis Hair Academy,Saint Louis,63107-1737,,PrivacySuppressed,PrivacySuppressed
New Dimensions School of Hair Design,Joplin,64801-5017,,PrivacySuppressed,PrivacySuppressed
Adirondack Beauty School,Glens Falls,12801-0000,,PrivacySuppressed,PrivacySuppressed
Jna Institute of Culinary Arts,Philadelphia,19146,,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Seattle,Seattle,98109,,PrivacySuppressed,PrivacySuppressed
Putnam Career and Technical Center,Eleanor,25070-0640,,PrivacySuppressed,PrivacySuppressed
Mountaineer Beauty College,Saint Albans,25177,,PrivacySuppressed,PrivacySuppressed
Argosy University-Washington DC,Arlington,22209,,0.217286915,0.191176471
Crawford County Career and Technical Center Practical Nursing Program,Meadville,16335,,PrivacySuppressed,PrivacySuppressed
University of Phoenix-Sacramento Valley Campus,Sacramento,95833-4334,,0.212373743,0.204389384
Baker College Corporate Services,Clinton Township,48035,,0.14299857,0.101228633
Texas College of Cosmetology-San Angelo,San Angelo,76904,,PrivacySuppressed,PrivacySuppressed
Beauty Schools of America-Hialeah,Hialeah,33012-3322,,0.611735331,0.553846154
Automeca Technical College-Bayamon,Bayamon,00961,,PrivacySuppressed,PrivacySuppressed
Automeca Technical College-Caguas,Caguas,00725,,PrivacySuppressed,PrivacySuppressed
Automeca Technical College-Ponce,Ponce,00731,,,
Everest University-Melbourne,Melbourne,32935,,0.210613599,0.18380744
Centura College-Chesapeake,Chesapeake,23320,,0.395803184,0.332352941
University of Phoenix-Hawaii,Honolulu,96813-3800,,0.212373743,0.204389384
Florida College of Natural Health-Miami,Miami,33126,,0.726984127,0.728813559
Prism Career Institute-Cherry Hill,Cherry Hill,08002,,PrivacySuppressed,PrivacySuppressed
American National College,Houston,77069-4611,,0.392638037,0.37037037
Francois D College of Hair Skin and Nails,Taylorsville,84129,,PrivacySuppressed,PrivacySuppressed
Southwest College of Naturopathic Medicine & Health Sciences,Tempe,85282,,,
Escuela de Peritos Electricistas de Isabela Inc,Isabela,00662,,PrivacySuppressed,PrivacySuppressed
Virginia College-Birmingham,Birmingham,35209,,0.317617866,0.238966631
Virginia College-Huntsville,Huntsville,35801,,0.317617866,0.238966631
Yeshiva D'monsey Rabbinical College,Monsey,10952,,PrivacySuppressed,PrivacySuppressed
Lincoln Technical Institute-Mahwah,Mahwah,07430,,0.495798319,0.593113482
The College of Saints John Fisher & Thomas More,Fort Worth,76109,,PrivacySuppressed,PrivacySuppressed
Career Technical Institute,Washington,20005,,PrivacySuppressed,PrivacySuppressed
Northwest Vista College,San Antonio,78251,,0.025261324,0.021676301
ITT Technical Institute-Getzville,Getzville,14068-0327,,0.338095238,0.370786517
Oconee Fall Line Technical College,Sandersville,31082,,PrivacySuppressed,PrivacySuppressed
York County Community College,Wells,04090,,PrivacySuppressed,PrivacySuppressed
Northeast Technology Center-Afton,Afton,74331,,PrivacySuppressed,PrivacySuppressed
Western Suffolk BOCES,Northport,11768,,PrivacySuppressed,PrivacySuppressed
Sanford-Brown College-Atlanta,Atlanta,30328,,0.63697858,0.583739837
Sanford-Brown College-Middleburg Heights,Middleburg Heights,44130,,0.63697858,0.583739837
Arkansas State University-Mountain Home,Mountain Home,72653,,0.302031851,0.230215827
Columbia Gorge Community College,The Dalles,97058,,0.036807818,0.024436991
Colleen O'Haras Beauty Academy,Santa Ana,92701-0000,,PrivacySuppressed,PrivacySuppressed
Tillamook Bay Community College,Tillamook,97141,,0.036807818,0.024436991
Argosy University-Schaumburg,Schaumburg,60173-5403,,0.217286915,0.191176471
Manhattan School of Computer Technology,Brooklyn,11230-1401,,PrivacySuppressed,PrivacySuppressed
University of Phoenix-Louisiana Campus,Metairie,70001-2082,,0.212373743,0.204389384
University of Phoenix-Detroit Campus,Southfield,48076-4400,,0.212373743,0.204389384
Brown Mackie College-Hopkinsville,Hopkinsville,42240-4948,,0.42295082,0.323076923
Indian Capital Technology Center-Sallisaw,Sallisaw,74955,,PrivacySuppressed,PrivacySuppressed
Indian Capital Technology Center-Stilwell,Stilwell,74960,,PrivacySuppressed,PrivacySuppressed
Globelle Technical Institute,Vega Baja,00693-0000,,PrivacySuppressed,PrivacySuppressed
Hairitage Hair Academy,Saint George,84770-0000,,PrivacySuppressed,PrivacySuppressed
Houghton Lake Institute of Cosmetology,Houghton Lake,48629-9702,,PrivacySuppressed,PrivacySuppressed
Arizona College-Glendale,Glendale,85302,,0.493617021,0.515151515
Vanguard-Sentinel Adult Career and Technology Center,Fremont,43420,,PrivacySuppressed,PrivacySuppressed
House of Heavilin Beauty College-Raymore,Raymore,64083-9195,,PrivacySuppressed,PrivacySuppressed
Living Arts College,Raleigh,27614-7076,,0.406779661,0.357142857
New York Conservatory for Dramatic Arts,New York,10011-4225,,0.616438356,0.510204082
Eastern International College-Jersey City,Jersey City,07306,,0.755555556,0.775862069
Academia Serrant Inc,Ponce,00717-1568,,PrivacySuppressed,PrivacySuppressed
San Joaquin Valley College-Fresno Aviation,Fresno,93727,,0.577001013,0.541383989
Pacific College,Costa Mesa,92626,,PrivacySuppressed,PrivacySuppressed
American College of Healthcare,Riverside,92505,,PrivacySuppressed,PrivacySuppressed
Compu-Med Vocational Careers Corp,Hialeah,33012-4861,,PrivacySuppressed,PrivacySuppressed
Professional Electrical School Inc,Manati,00674,,PrivacySuppressed,PrivacySuppressed
Mid-Cities Barber College,Grand Prairie,75051-4892,,PrivacySuppressed,PrivacySuppressed
Georgia Military College-Columbus Campus,Columbus,31906,,0.031616983,0.042628774
American Commercial College-Wichita Falls,Wichita Falls,76310,,0.549295775,0.5
Midwestern University-Glendale,Glendale,85308,,PrivacySuppressed,PrivacySuppressed
Oregon Coast Community College,Newport,97366,,0.046398892,0.027593819
Harrison College-Evansville,Evansville,47715-4601,,0.393860787,0.230946882
Le Cordon Bleu College of Culinary Arts-Pasadena,Pasadena,91101,,0.653094463,0.541603631
American Pacific College,Van Nuys,91405,,,
Kaplan College-Panorama City,Panorama City,91402-4222,,0.63840399,0.625
Gwinnett College-Sandy Springs,Sandy Springs,30328,,0.62962963,0.592592593
Beacon University,Columbus,31909-4663,,PrivacySuppressed,PrivacySuppressed
Pyramid Career Institute,Chicago,60657-4207,,PrivacySuppressed,PrivacySuppressed
Central Mass School of Massage and Therapy Inc,Spencer,01562,,,
Lincoln Technical Institute-Brockton,Brockton,02301-1818,,0.68940754,0.576
Mildred Elley-Pittsfield Campus,Pittsfield,01201-5300,,0.399122807,0.211538462
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,32114-3900,,0.374331551,0.30781759
Computer Systems Institute,Skokie,60077,,,
Merkaz Bnos-Business School,Brooklyn,11214,,PrivacySuppressed,PrivacySuppressed
Lia Schorr Institute of Cosmetic Skin Care Training,New York,10019,,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Webster,Webster,77598,,0.469387755,0.374545455
CET-Alexandria,Alexandria,22312,,0.52253116,0.454202077
CET-Durham,Durham,27701,,0.52253116,0.454202077
Aviation Institute of Maintenance-Chesapeake,Chesapeake,23320,,PrivacySuppressed,PrivacySuppressed
Centura College-Richmond Main,Richmond,23235-5250,,PrivacySuppressed,PrivacySuppressed
Technical Education Center-Osceola,Kissimmee,34744,,PrivacySuppressed,PrivacySuppressed
Miami Ad School-Wynwood,Miami,33127,,PrivacySuppressed,PrivacySuppressed
Green Country Technology Center,Okmulgee,74447,,PrivacySuppressed,PrivacySuppressed
Askins Vo-Tech,Fort Smith,72908,,PrivacySuppressed,PrivacySuppressed
Nova College de Puerto Rico,Bayamon,00960,,PrivacySuppressed,PrivacySuppressed
Styles and Profiles Beauty College,Selmer,38375,,PrivacySuppressed,PrivacySuppressed
John Wesley International Barber and Beauty College,Long Beach,90813,,PrivacySuppressed,PrivacySuppressed
Platt College-Lawton,Lawton,73501,,PrivacySuppressed,PrivacySuppressed
Southeastern College-West Palm Beach,West Palm Beach,33411,,0.474048443,0.392857143
Ottawa University-Milwaukee,Brookfield,53005,,0.190394511,0.128404669
Argosy University-Tampa,Tampa,33607,,0.217286915,0.191176471
The Illinois Institute of Art-Schaumburg,Schaumburg,60173-4913,,0.403433476,0.339832869
Cambria-Rowe Business College-Indiana,Indiana,15701,,0.560209424,0.64516129
Klamath Community College,Klamath Falls,97603-7121,,PrivacySuppressed,PrivacySuppressed
The Art Institute of Phoenix,Phoenix,85021-2859,,0.118518519,0.203252033
Michigan Theological Seminary,Plymouth,48170,,PrivacySuppressed,PrivacySuppressed
American College of Acupuncture and Oriental Med,Houston,77063-4104,,PrivacySuppressed,PrivacySuppressed
AOMA Graduate School of Integrative Medicine,Austin,78745,,PrivacySuppressed,PrivacySuppressed
Arlington Medical Institute,Arlington,76006-2317,,PrivacySuppressed,PrivacySuppressed
Urban College of Boston,Boston,02111-1093,,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Henderson,Henderson,89074,,0.293814433,0.304136253
Anthem College-Minnesota,Saint Louis Park,55416,,0.568049065,0.558170814
Colorado Technical University-Greenwood Village,Aurora,80014,,0.322128852,0.292987512
Branford Hall Career Institute-Windsor Campus,Windsor,06095,,0.64040404,0.571428571
Trine University-South Bend Regional Campus,Mishawaka,46545,,0.410788382,0.372093023
Heald College-Portland,Portland,97218-2852,,0.425981873,0.405797101
Golf Academy of America-Orlando,Apopka,32703,,0.317617866,0.238966631
Golf Academy of America-Phoenix,Chandler,85225,,0.317617866,0.238966631
Everest College-Merrillville,Merrillville,46410,,0.706454465,0.666666667
Empire Beauty School-Bordentown,Bordentown,08505,,0.541984733,0.5
Empire Beauty School-Monroeville,Monroeville,15146-2229,,PrivacySuppressed,PrivacySuppressed
Southern Careers Institute-San Antonio,San Antonio,78221,,0.509863429,0.417508418
Virginia School of Massage,Charlottesville,22901,,0.527472528,0.576923077
ITT Technical Institute-Hialeah,Hialeah,33015,,0.275,0.316283925
CET-Sacramento,Sacramento,95828,,0.52253116,0.454202077
ITT Technical Institute-Harrisburg,Harrisburg,17111,,0.210778443,0.340909091
ITT Technical Institute-Tarentum,Tarentum,15084,,0.390070922,0.400874636
ITT Technical Institute-Norwood,Norwood,45212,,0.197452229,0.274714829
ITT Technical Institute-Strongsville,Strongsville,44136,,0.391304348,0.327118644
Prism Career Institute-West Atlantic City,West  Atlantic City,08232,,PrivacySuppressed,PrivacySuppressed
Everest Institute-Marietta,Marietta,30067,,0.718503937,0.601941748
The Creative Center,Omaha,68164,,PrivacySuppressed,PrivacySuppressed
Moberly Area Technical Center,Moberly,65270,,,
Studio Jewelers,New York,10016-4112,,PrivacySuppressed,PrivacySuppressed
Praxis Institute,Miami,33135,,0.846428571,0.819354839
American College of Traditional Chinese Medicine,San Francisco,94107,,,
San Juan Bautista School of Medicine,Caguas,00725-4968,,,
Texas Health and Science University,Austin,78704,,PrivacySuppressed,PrivacySuppressed
Carver Career Center,Charleston,25306-6397,,PrivacySuppressed,PrivacySuppressed
New Hampshire Institute of Art,Manchester,03104-4858,,PrivacySuppressed,PrivacySuppressed
StenoTech Career Institute-Fairfield,Piscataway,08854-3756,,PrivacySuppressed,PrivacySuppressed
Cayuga Onondaga BOCES-Practical Nursing Program,Auburn,13021,,PrivacySuppressed,PrivacySuppressed
Clearfield County Career and Technology Center,Clearfield,16830,,PrivacySuppressed,PrivacySuppressed
Cleveland Municipal School District Adult and Continuing Education,Cleveland,44102,,PrivacySuppressed,PrivacySuppressed
Colegio de Cinematografia Artes y Television,Bayamon,00961,,PrivacySuppressed,PrivacySuppressed
Delaware County Technical School-Practical Nursing Program,Broomall,19008,,PrivacySuppressed,PrivacySuppressed
Everest College-Torrance,Torrance,90501,,0.761111111,0.666666667
The Institute for Health Education,Jersey City,07306,,PrivacySuppressed,PrivacySuppressed
Mid-Del Technology Center,Midwest City,73110-4825,,PrivacySuppressed,PrivacySuppressed
BIR Training Center,Chicago,60659,,PrivacySuppressed,PrivacySuppressed
New York Institute of Massage Inc,Williamsville,14221,,PrivacySuppressed,PrivacySuppressed
Jolie Hair and Beauty Academy-Ludlow,Ludlow,01056,,PrivacySuppressed,PrivacySuppressed
Dutchess BOCES-Practical Nursing Program,Poughkeepsie,12601-6599,,PrivacySuppressed,PrivacySuppressed
Escuela Tecnica de Electricidad,Ponce,00730-4875,,PrivacySuppressed,PrivacySuppressed
Institute of Technology,Clovis,93612,,0.684391081,0.653179191
Garnet Career Center,Charleston,25301,,PrivacySuppressed,PrivacySuppressed
Genesee Valley BOCES-Practical Nursing Program,Batavia,14020,,PrivacySuppressed,PrivacySuppressed
Hamilton Fulton Montgomery BOCES-Practical Nursing Program,Johnstown,12095,,PrivacySuppressed,PrivacySuppressed
The Colorado Center for Medical Laboratory Science,Denver,80218-1281,,PrivacySuppressed,PrivacySuppressed
Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,23294,,PrivacySuppressed,PrivacySuppressed
Herkimer County BOCES-Practical Nursing Program,Ilion,13357,,PrivacySuppressed,PrivacySuppressed
International Beauty College,Garland,75040-3294,,PrivacySuppressed,PrivacySuppressed
Dewey University-Hato Rey,Hato Rey,00910-9538,,0.024594196,0.006807352
Cape Coral Technical College,Cape Coral,33993-2479,,PrivacySuppressed,PrivacySuppressed
Massachusetts General Hospital Dietetic Internship,Boston,02114-2696,,,
Mercy Hospital School of Nursing,Pittsburgh,15219-5166,,PrivacySuppressed,PrivacySuppressed
American Beauty Academy,Wheaton,20902-1911,,PrivacySuppressed,PrivacySuppressed
New Directions Hair Academy,Brentwood,37027-2903,,PrivacySuppressed,PrivacySuppressed
Northland Career Center,Platte City,64079,,PrivacySuppressed,PrivacySuppressed
Norwich Technical High School/Adult Licensed Practical Nurse Program,Norwich,06360-2425,,PrivacySuppressed,PrivacySuppressed
Ocean County Vocational-Technical School,Toms River,08753,,PrivacySuppressed,PrivacySuppressed
Putnam Westchester BOCES-Practical Nursing Program,Yorktown Heights,10598-4399,,PrivacySuppressed,PrivacySuppressed
Sullivan County BOCES-Practical Nursing Program,Liberty,12754,,PrivacySuppressed,PrivacySuppressed
Brightwood College-San Antonio-Ingram,San Antonio,78238,,0.550367488,0.425531915
Trinity College of Puerto Rico,Ponce,00716-1111,,PrivacySuppressed,PrivacySuppressed
Virginia Sewing Machines and School Center,Los Angeles,90015-4001,,PrivacySuppressed,PrivacySuppressed
Vogue Beauty and Barber School,Hiram,30141-2226,,PrivacySuppressed,PrivacySuppressed
Yeshiva of the Telshe Alumni,Riverdale,10471,,PrivacySuppressed,PrivacySuppressed
Northeast Technology Center-Kansas,Kansas,74347,,PrivacySuppressed,PrivacySuppressed
