"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","80.2625103774662","88.5151083168401","101.402041231334","123.355406191157","127.432824743159","55.5626081113561","53.9909787100903","52.4107325241546","54.620014231291","56.663568461013","54.7352065394077","56.3547493904295","59.1044993728076","48.845414091863","56.9325675211768","55.3061032574104","54.1081742743176","53.0659803813941","51.9140691946902","51.7605105262393","53.1328210596517","52.2040399141139","50.7321318074501","49.4173199470194","48.1463514526672","50.1284405069402","68.3280070403694","72.6249293906381","71.5370996665406","75.056608740482","82.434085410898","85.7582712771421","95.4218969027107","87.0361877598497","108.63037655155","143.91188328687","132.681280561997","171.879581349135","188.961667389593","206.34057808996","207.031258871036","219.356355456913","280.402518006919","312.476017317085","","","",
"Albania","ALB","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","532.02843152625","568.403201603477","593.446745665183","591.032643383924","739.345093272667","908.67454726938","1067.81415577833","1098.48316581368","1065.76739836628","1142.96535512577","1123.96810630449","1096.87322889453","1070.69016441863","1018.1002875264","796.353973775973","1420.61479470727","1161.95167669011","1005.93953033667","1021.39350044285","552.252184819181","418.45358899715","453.64407387777","536.363825095196","596.407959255952","663.783995402449","904.346640328557","694.664802792381","734.849913537668","1414.70378393053","1449.64741324695","1351.23079642883","1578.16591882688","1469.26453867857","1797.52548696885","1722.07284972507","1218.36014605619","1213.12436932179","1617.7441562046","1835.68407241763","1943.34335385842","2205.70392004668","2118.32777605579","2533.25282927106","2309.36650255581","","","",
"Andorra","AND","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","195.163395095494","209.787297492652","228.947272891193","253.176037922856","280.426798525337","323.230395486733","366.835612016568","423.802993736535","511.414498598117","573.181168874562","619.953928627598","709.08696160247","764.801595433576","849.780877023921","876.254094356804","953.053199708661","990.844731607735","1027.12890849286","1046.92882084264","1062.99949931895","1028.47144928807","1061.75761319717","1115.97992950639","1143.24308883033","1250.01513681318","1288.11163195562","1332.47994119594","1425.25848591557","1476.67054311144","1509.8121225755","1573.00507682749","1641.17838362208","1711.66934461546","1758.49925796905","1832.83033161939","1932.40270037643","1987.1109820734","2053.18891803874","2110.7612301402","2286.73538038414","2322.21334205943","2360.61917505294","2416.28262352013","2489.22007258894","","","",
"United Arab Emirates","ARE","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","677.885856933804","1307.24846736387","1689.43586438186","1860.55787035073","2296.49086094053","2790.04487257765","3673.22223662876","4107.89170466359","4875.84555270787","5626.52534958326","5986.26104023552","6969.05119184226","7526.37543294016","7758.94630020372","8023.42399852773","8094.58925240691","8137.92113629752","8334.69718555255","8090.34858485812","8355.66995345597","8015.12264305141","8150.42755359216","8958.02990389167","9275.61723650162","9273.4459862301","9394.71493804016","9820.33399876297","11133.6806259018","12128.5258295902","12232.620426793","12048.5912342395","12401.2326529867","12266.9252140338","11902.3535377676","12303.1416541582","11823.0869250703","11688.3217872998","11613.9790127407","10966.4349323078","10968.2584898661","10612.4260952035","10698.2195175908","10952.7114631229","11263.5319203776","","","",
"Argentina","ARG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","870.623729630743","920.47157099827","956.277672798277","986.176142367492","1004.18249528378","1024.20381164862","1073.01115219507","1084.7305867447","1207.78626795741","1234.3676883648","1188.99790508225","1200.35233512383","1250.93626702774","1292.80853279032","1281.55839607002","1323.54658763433","1407.43581315394","1446.52467830606","1315.6328280068","1299.55206792208","1342.92673736195","1405.10437763301","1490.72509542913","1569.67473486329","1641.04315570873","1719.66535442074","1838.89761136982","1957.58519424782","2023.73560319742","2078.28644020102","2109.49604404776","2003.43790355976","2167.7198160795","2279.29182020484","2392.89391410831","2357.95291526127","2438.08991413208","2752.09076907263","2708.93643135549","2847.25684177929","2901.27352075512","2974.69597348146","2943.86978820485","3052.38193674653","","","",
"Armenia","ARM","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2722.59773074461","2689.67899873647","1962.64098222092","1195.02910709114","1045.47973907165","1050.24582403736","1219.92983430733","1509.05528925794","1308.59231752085","1307.53569824964","1297.56827300602","1269.23562316945","1236.36366033521","1320.49575088657","1440.37283060922","1521.5048407401","1639.68227142133","1772.89489188069","1669.06217548879","1661.02145549515","1726.26455742879","1807.63470060485","1893.52799971686","1933.98396203364","1965.78373282133","","","",
"American Samoa","ASM","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
